dbName	refName	Shape-it::Tanimoto	Shape-it::Tversky_Ref	Shape-it::Tversky_Db	overlap	refVolume	dbVolume
MOL_4827	PD1-PDL1.sdf	0.199	0.288	0.391	2845.7	10017	7138.5
MOL_4828	PD1-PDL1.sdf	0.242	0.339	0.458	3348.7	10017	7165.5
MOL_4829	PD1-PDL1.sdf	0.211	0.303	0.409	2991.6	10017	7176.2
MOL_4830	PD1-PDL1.sdf	0.262	0.361	0.489	3564.2	10017	7137.6
MOL_4831	PD1-PDL1.sdf	0.236	0.332	0.449	3274.8	10017	7148.2
MOL_4832	PD1-PDL1.sdf	0.268	0.372	0.489	3675.5	10017	7392.6
MOL_4833	PD1-PDL1.sdf	0.272	0.377	0.495	3729.6	10017	7402.4
MOL_4834	PD1-PDL1.sdf	0.296	0.402	0.528	3975.3	10017	7398.7
MOL_4835	PD1-PDL1.sdf	0.259	0.362	0.475	3576.3	10017	7390.6
MOL_4836	PD1-PDL1.sdf	0.22	0.318	0.417	3144.7	10017	7409.5
MOL_4837	PD1-PDL1.sdf	0.212	0.308	0.404	3045.4	10017	7402.8
MOL_4838	PD1-PDL1.sdf	0.284	0.39	0.511	3855.5	10017	7408.1
MOL_4839	PD1-PDL1.sdf	0.293	0.399	0.525	3948.8	10017	7394.7
MOL_4840	PD1-PDL1.sdf	0.311	0.418	0.549	4130.4	10017	7385.1
MOL_4841	PD1-PDL1.sdf	0.306	0.412	0.542	4074.2	10017	7380.7
MOL_4842	PD1-PDL1.sdf	0.208	0.299	0.404	2957	10017	7178.7
MOL_4843	PD1-PDL1.sdf	0.212	0.304	0.41	3004.9	10017	7192.8
MOL_4844	PD1-PDL1.sdf	0.207	0.299	0.403	2952.6	10017	7179.3
MOL_4845	PD1-PDL1.sdf	0.301	0.403	0.543	3982.2	10017	7189.3
MOL_4846	PD1-PDL1.sdf	0.278	0.377	0.512	3725.1	10017	7126.5
MOL_4847	PD1-PDL1.sdf	0.25	0.347	0.471	3425.5	10017	7123.5
MOL_4848	PD1-PDL1.sdf	0.322	0.423	0.574	4174.5	10017	7127.7
MOL_4849	PD1-PDL1.sdf	0.255	0.354	0.479	3494.1	10017	7157.7
MOL_4850	PD1-PDL1.sdf	0.207	0.298	0.403	2941.2	10017	7148.4
MOL_4851	PD1-PDL1.sdf	0.307	0.408	0.552	4032.2	10017	7155.3
MOL_4852	PD1-PDL1.sdf	0.296	0.41	0.516	4056.8	10017	7756
MOL_4853	PD1-PDL1.sdf	0.242	0.349	0.44	3460.2	10017	7759.4
MOL_4854	PD1-PDL1.sdf	0.257	0.367	0.462	3639.6	10017	7759.3
MOL_4855	PD1-PDL1.sdf	0.259	0.369	0.465	3658.3	10017	7752.5
MOL_4856	PD1-PDL1.sdf	0.275	0.385	0.489	3813.9	10017	7686.7
MOL_4857	PD1-PDL1.sdf	0.224	0.328	0.416	3244.7	10017	7687.6
MOL_4858	PD1-PDL1.sdf	0.281	0.392	0.498	3877	10017	7674.4
MOL_4859	PD1-PDL1.sdf	0.206	0.305	0.387	3017.1	10017	7671.6
MOL_4860	PD1-PDL1.sdf	0.289	0.391	0.526	3861.1	10017	7193.5
MOL_4861	PD1-PDL1.sdf	0.248	0.347	0.467	3424.3	10017	7191.7
MOL_4862	PD1-PDL1.sdf	0.253	0.352	0.473	3475.6	10017	7201.5
MOL_4863	PD1-PDL1.sdf	0.207	0.298	0.402	2946.5	10017	7182.5
MOL_4864	PD1-PDL1.sdf	0.258	0.357	0.481	3524.5	10017	7191.6
MOL_4865	PD1-PDL1.sdf	0.256	0.354	0.48	3494.3	10017	7131
MOL_4866	PD1-PDL1.sdf	0.318	0.419	0.569	4139.1	10017	7128.2
MOL_4867	PD1-PDL1.sdf	0.264	0.362	0.493	3576.7	10017	7108.3
MOL_4868	PD1-PDL1.sdf	0.253	0.351	0.476	3461.9	10017	7130.2
MOL_4869	PD1-PDL1.sdf	0.346	0.44	0.617	4338.4	10017	6870.9
MOL_4870	PD1-PDL1.sdf	0.316	0.411	0.577	4052.5	10017	6871.2
MOL_4871	PD1-PDL1.sdf	0.224	0.313	0.44	3089.8	10017	6864
MOL_4872	PD1-PDL1.sdf	0.223	0.312	0.439	3078.6	10017	6861.6
MOL_4873	PD1-PDL1.sdf	0.303	0.398	0.559	3928.8	10017	6865.3
MOL_4874	PD1-PDL1.sdf	0.236	0.327	0.459	3223.4	10017	6864.8
MOL_4875	PD1-PDL1.sdf	0.241	0.332	0.467	3273.2	10017	6856.2
MOL_4876	PD1-PDL1.sdf	0.247	0.339	0.477	3345.7	10017	6862.5
MOL_4877	PD1-PDL1.sdf	0.265	0.358	0.504	3532.1	10017	6855
MOL_4878	PD1-PDL1.sdf	0.31	0.403	0.574	3970.6	10017	6754.7
MOL_4879	PD1-PDL1.sdf	0.211	0.298	0.42	2941.9	10017	6842.7
MOL_4880	PD1-PDL1.sdf	0.236	0.326	0.46	3218.1	10017	6840.8
MOL_4881	PD1-PDL1.sdf	0.262	0.356	0.5	3504.9	10017	6854.6
MOL_4882	PD1-PDL1.sdf	0.196	0.28	0.395	2761.3	10017	6837.3
MOL_4883	PD1-PDL1.sdf	0.292	0.386	0.546	3801.6	10017	6807.2
MOL_4884	PD1-PDL1.sdf	0.285	0.379	0.534	3741.3	10017	6852.8
MOL_4885	PD1-PDL1.sdf	0.183	0.265	0.372	2610	10017	6852
MOL_4886	PD1-PDL1.sdf	0.291	0.385	0.542	3797.2	10017	6845.8
MOL_4887	PD1-PDL1.sdf	0.262	0.381	0.458	3776.7	10017	8158.8
MOL_4888	PD1-PDL1.sdf	0.363	0.489	0.586	4852	10017	8189
MOL_4889	PD1-PDL1.sdf	0.309	0.432	0.52	4287.9	10017	8158.4
MOL_4890	PD1-PDL1.sdf	0.276	0.395	0.477	3917.1	10017	8112.5
MOL_4891	PD1-PDL1.sdf	0.212	0.32	0.385	3172.8	10017	8137.9
MOL_4892	PD1-PDL1.sdf	0.233	0.345	0.418	3425.1	10017	8094.9
MOL_4893	PD1-PDL1.sdf	0.268	0.386	0.467	3832.1	10017	8115.2
MOL_4894	PD1-PDL1.sdf	0.271	0.389	0.471	3864.1	10017	8100.9
MOL_4895	PD1-PDL1.sdf	0.269	0.387	0.469	3838.8	10017	8079.8
MOL_4896	PD1-PDL1.sdf	0.318	0.441	0.533	4373.6	10017	8103.3
MOL_4897	PD1-PDL1.sdf	0.298	0.409	0.524	4042.8	10017	7587
MOL_4898	PD1-PDL1.sdf	0.233	0.336	0.431	3323.3	10017	7591
MOL_4899	PD1-PDL1.sdf	0.274	0.383	0.49	3792.2	10017	7615.9
MOL_4900	PD1-PDL1.sdf	0.255	0.361	0.466	3571.9	10017	7543.8
MOL_4901	PD1-PDL1.sdf	0.274	0.382	0.493	3784.2	10017	7553.9
MOL_4902	PD1-PDL1.sdf	0.253	0.358	0.462	3544.2	10017	7549.6
MOL_4903	PD1-PDL1.sdf	0.275	0.383	0.494	3790.1	10017	7555.2
MOL_4904	PD1-PDL1.sdf	0.249	0.354	0.456	3507.2	10017	7576.8
MOL_4905	PD1-PDL1.sdf	0.186	0.3	0.328	2987.3	10017	9058.7
MOL_4906	PD1-PDL1.sdf	0.26	0.394	0.433	3923.2	10017	9001.2
MOL_4907	PD1-PDL1.sdf	0.316	0.458	0.504	4560	10017	8990.6
MOL_4908	PD1-PDL1.sdf	0.331	0.476	0.522	4742.1	10017	9044
MOL_4909	PD1-PDL1.sdf	0.208	0.33	0.361	3294.6	10017	9090.2
MOL_4910	PD1-PDL1.sdf	0.23	0.357	0.392	3554.9	10017	9014.5
MOL_4911	PD1-PDL1.sdf	0.259	0.392	0.432	3907.3	10017	9000.7
MOL_4912	PD1-PDL1.sdf	0.274	0.41	0.451	4084.3	10017	8995.4
MOL_4913	PD1-PDL1.sdf	0.23	0.356	0.393	3552.1	10017	8995.6
MOL_4914	PD1-PDL1.sdf	0.204	0.269	0.459	2632.7	10017	5513.2
MOL_4915	PD1-PDL1.sdf	0.204	0.269	0.459	2632.9	10017	5513.1
MOL_4916	PD1-PDL1.sdf	0.201	0.265	0.453	2598.7	10017	5509.3
MOL_4917	PD1-PDL1.sdf	0.242	0.309	0.528	3021.8	10017	5492.7
