dbName	refName	Shape-it::Tanimoto	Shape-it::Tversky_Ref	Shape-it::Tversky_Db	overlap	refVolume	dbVolume
MOL_1	PD1-PDL1.sdf	0.273	0.41	0.45	4084	10017	9035.3
MOL_2	PD1-PDL1.sdf	0.205	0.325	0.356	3244.1	10017	9057.7
MOL_3	PD1-PDL1.sdf	0.255	0.388	0.426	3872.5	10017	9044.2
MOL_4	PD1-PDL1.sdf	0.262	0.397	0.436	3960.5	10017	9044
MOL_5	PD1-PDL1.sdf	0.219	0.344	0.377	3429.8	10017	9048.9
MOL_6	PD1-PDL1.sdf	0.232	0.36	0.394	3587.3	10017	9046.5
MOL_7	PD1-PDL1.sdf	0.191	0.306	0.337	3048.2	10017	8993.5
MOL_8	PD1-PDL1.sdf	0.314	0.457	0.5	4560.4	10017	9081.6
MOL_9	PD1-PDL1.sdf	0.274	0.41	0.453	4086.6	10017	8966.3
MOL_10	PD1-PDL1.sdf	0.269	0.406	0.444	4045.5	10017	9068.9
MOL_11	PD1-PDL1.sdf	0.196	0.33	0.326	3307.9	10017	10140
MOL_12	PD1-PDL1.sdf	0.356	0.528	0.522	5287.4	10017	10132
MOL_13	PD1-PDL1.sdf	0.269	0.426	0.422	4273.7	10017	10128
MOL_14	PD1-PDL1.sdf	0.212	0.351	0.349	3520.9	10017	10097
MOL_15	PD1-PDL1.sdf	0.248	0.398	0.397	3990.1	10017	10064
MOL_16	PD1-PDL1.sdf	0.371	0.543	0.54	5439	10017	10073
MOL_17	PD1-PDL1.sdf	0.259	0.413	0.408	4143.1	10017	10154
MOL_18	PD1-PDL1.sdf	0.294	0.457	0.452	4582	10017	10139
MOL_19	PD1-PDL1.sdf	0.241	0.39	0.386	3908.9	10017	10122
MOL_20	PD1-PDL1.sdf	0.186	0.314	0.312	3150.4	10017	10113
MOL_21	PD1-PDL1.sdf	0.208	0.353	0.337	3549.4	10017	10574
MOL_22	PD1-PDL1.sdf	0.421	0.607	0.579	6098.1	10017	10566
MOL_23	PD1-PDL1.sdf	0.191	0.329	0.313	3301	10017	10562
MOL_24	PD1-PDL1.sdf	0.427	0.613	0.584	6160.2	10017	10568
MOL_25	PD1-PDL1.sdf	0.226	0.378	0.36	3798.1	10017	10583
MOL_26	PD1-PDL1.sdf	0.167	0.293	0.279	2941.1	10017	10572
MOL_27	PD1-PDL1.sdf	0.19	0.327	0.312	3282.2	10017	10561
MOL_28	PD1-PDL1.sdf	0.28	0.448	0.427	4504.2	10017	10581
MOL_29	PD1-PDL1.sdf	0.217	0.366	0.348	3677.4	10017	10587
MOL_30	PD1-PDL1.sdf	0.179	0.311	0.296	3128.3	10017	10585
MOL_31	PD1-PDL1.sdf	0.229	0.363	0.382	3629.6	10017	9477.9
MOL_32	PD1-PDL1.sdf	0.237	0.374	0.393	3737.6	10017	9482
MOL_33	PD1-PDL1.sdf	0.197	0.321	0.337	3202.5	10017	9480
MOL_34	PD1-PDL1.sdf	0.245	0.384	0.403	3838.6	10017	9492.1
MOL_35	PD1-PDL1.sdf	0.251	0.391	0.411	3909.3	10017	9475
MOL_36	PD1-PDL1.sdf	0.285	0.433	0.455	4327.7	10017	9487.4
MOL_37	PD1-PDL1.sdf	0.199	0.324	0.34	3237.8	10017	9503.9
MOL_38	PD1-PDL1.sdf	0.202	0.328	0.344	3274	10017	9490
MOL_39	PD1-PDL1.sdf	0.237	0.374	0.393	3738.6	10017	9483
MOL_40	PD1-PDL1.sdf	0.266	0.374	0.479	3701.9	10017	7599.7
MOL_41	PD1-PDL1.sdf	0.294	0.404	0.519	3995.6	10017	7574.2
MOL_42	PD1-PDL1.sdf	0.23	0.332	0.427	3284.2	10017	7572.3
MOL_43	PD1-PDL1.sdf	0.2	0.296	0.381	2931.5	10017	7575.7
MOL_44	PD1-PDL1.sdf	0.242	0.346	0.445	3422.9	10017	7574.8
MOL_45	PD1-PDL1.sdf	0.299	0.409	0.528	4046.1	10017	7545.3
MOL_46	PD1-PDL1.sdf	0.329	0.44	0.566	4356.5	10017	7576
MOL_47	PD1-PDL1.sdf	0.247	0.351	0.453	3474.6	10017	7546.2
MOL_48	PD1-PDL1.sdf	0.286	0.394	0.509	3898.9	10017	7534
MOL_49	PD1-PDL1.sdf	0.292	0.401	0.518	3969.4	10017	7531.5
MOL_50	PD1-PDL1.sdf	0.234	0.336	0.434	3321.3	10017	7520.8
MOL_51	PD1-PDL1.sdf	0.282	0.39	0.504	3855.9	10017	7519.3
MOL_52	PD1-PDL1.sdf	0.264	0.369	0.48	3649.8	10017	7473.1
MOL_53	PD1-PDL1.sdf	0.213	0.311	0.406	3070.6	10017	7440.7
MOL_54	PD1-PDL1.sdf	0.295	0.403	0.523	3981.3	10017	7481
MOL_55	PD1-PDL1.sdf	0.247	0.349	0.457	3451.7	10017	7429.6
MOL_56	PD1-PDL1.sdf	0.278	0.384	0.5	3801.1	10017	7481.9
MOL_57	PD1-PDL1.sdf	0.251	0.354	0.462	3498.4	10017	7436
MOL_58	PD1-PDL1.sdf	0.249	0.351	0.462	3474.3	10017	7395.8
MOL_59	PD1-PDL1.sdf	0.334	0.454	0.557	4503	10017	7985.9
MOL_60	PD1-PDL1.sdf	0.235	0.346	0.424	3426.7	10017	7986.4
MOL_61	PD1-PDL1.sdf	0.265	0.381	0.466	3774	10017	7991.7
MOL_62	PD1-PDL1.sdf	0.316	0.435	0.537	4308.8	10017	7919.9
MOL_63	PD1-PDL1.sdf	0.309	0.425	0.53	4213.3	10017	7835.5
MOL_64	PD1-PDL1.sdf	0.224	0.331	0.409	3283.5	10017	7921.1
MOL_65	PD1-PDL1.sdf	0.242	0.352	0.435	3491.3	10017	7923.5
MOL_66	PD1-PDL1.sdf	0.304	0.422	0.52	4183.3	10017	7933.2
MOL_67	PD1-PDL1.sdf	0.287	0.402	0.501	3982.1	10017	7847.6
MOL_68	PD1-PDL1.sdf	0.217	0.324	0.397	3208	10017	7974.1
MOL_69	PD1-PDL1.sdf	0.241	0.351	0.434	3478.2	10017	7904.2
MOL_70	PD1-PDL1.sdf	0.278	0.393	0.488	3898.7	10017	7883.6
MOL_71	PD1-PDL1.sdf	0.252	0.363	0.45	3596.8	10017	7879.4
MOL_72	PD1-PDL1.sdf	0.346	0.464	0.576	4602.8	10017	7877.7
MOL_73	PD1-PDL1.sdf	0.224	0.331	0.41	3276.7	10017	7882
MOL_74	PD1-PDL1.sdf	0.239	0.348	0.432	3452.7	10017	7885.9
MOL_75	PD1-PDL1.sdf	0.249	0.359	0.45	3554.4	10017	7794.8
MOL_76	PD1-PDL1.sdf	0.249	0.358	0.449	3547.9	10017	7794.6
MOL_77	PD1-PDL1.sdf	0.257	0.367	0.46	3634.8	10017	7786.4
MOL_78	PD1-PDL1.sdf	0.251	0.38	0.425	3783.1	10017	8845.7
MOL_79	PD1-PDL1.sdf	0.189	0.301	0.339	2993.7	10017	8775
MOL_80	PD1-PDL1.sdf	0.193	0.306	0.343	3044.7	10017	8805.3
MOL_81	PD1-PDL1.sdf	0.241	0.366	0.412	3647.4	10017	8786
MOL_82	PD1-PDL1.sdf	0.284	0.418	0.47	4157.2	10017	8782.8
MOL_83	PD1-PDL1.sdf	0.204	0.32	0.36	3181.7	10017	8772.4
MOL_84	PD1-PDL1.sdf	0.187	0.298	0.335	2965.9	10017	8780.6
MOL_85	PD1-PDL1.sdf	0.184	0.294	0.331	2923.8	10017	8778.6
MOL_86	PD1-PDL1.sdf	0.245	0.372	0.419	3705	10017	8781.1
MOL_87	PD1-PDL1.sdf	0.325	0.463	0.521	4608.7	10017	8777.3
MOL_88	PD1-PDL1.sdf	0.199	0.319	0.347	3183.4	10017	9130.1
MOL_89	PD1-PDL1.sdf	0.224	0.352	0.382	3511.5	10017	9137.3
MOL_90	PD1-PDL1.sdf	0.277	0.416	0.452	4147.1	10017	9128.1
MOL_91	PD1-PDL1.sdf	0.211	0.335	0.364	3337.4	10017	9132.9
MOL_92	PD1-PDL1.sdf	0.292	0.434	0.472	4324.7	10017	9119.1
MOL_93	PD1-PDL1.sdf	0.2	0.32	0.347	3189.1	10017	9157.5
MOL_94	PD1-PDL1.sdf	0.3	0.443	0.482	4419.5	10017	9131.2
MOL_95	PD1-PDL1.sdf	0.219	0.345	0.376	3440.9	10017	9118.6
MOL_96	PD1-PDL1.sdf	0.273	0.412	0.448	4105.7	10017	9110
MOL_97	PD1-PDL1.sdf	0.295	0.437	0.475	4358.9	10017	9126.8
MOL_98	PD1-PDL1.sdf	0.259	0.367	0.47	3628.4	10017	7600.7
MOL_99	PD1-PDL1.sdf	0.181	0.273	0.349	2701.6	10017	7611.8
MOL_100	PD1-PDL1.sdf	0.286	0.396	0.508	3914.5	10017	7588.1
MOL_101	PD1-PDL1.sdf	0.246	0.351	0.451	3477	10017	7589.2
MOL_102	PD1-PDL1.sdf	0.261	0.368	0.472	3641.7	10017	7600.2
MOL_103	PD1-PDL1.sdf	0.291	0.401	0.514	3969.6	10017	7607.2
MOL_104	PD1-PDL1.sdf	0.198	0.293	0.381	2897.9	10017	7485.7
MOL_105	PD1-PDL1.sdf	0.25	0.355	0.458	3511.9	10017	7541.1
MOL_106	PD1-PDL1.sdf	0.208	0.305	0.396	3017.7	10017	7490.8
MOL_107	PD1-PDL1.sdf	0.252	0.357	0.461	3535.5	10017	7553.1
MOL_108	PD1-PDL1.sdf	0.272	0.384	0.482	3802.4	10017	7776.8
MOL_109	PD1-PDL1.sdf	0.262	0.373	0.468	3692.4	10017	7784.5
MOL_110	PD1-PDL1.sdf	0.212	0.314	0.395	3113.9	10017	7780.1
MOL_111	PD1-PDL1.sdf	0.263	0.374	0.469	3707.4	10017	7793.7
MOL_112	PD1-PDL1.sdf	0.242	0.35	0.439	3466.7	10017	7782.3
MOL_113	PD1-PDL1.sdf	0.214	0.317	0.398	3142.3	10017	7785.1
MOL_114	PD1-PDL1.sdf	0.211	0.313	0.393	3104.1	10017	7790.2
MOL_115	PD1-PDL1.sdf	0.206	0.307	0.385	3039.4	10017	7784.9
MOL_116	PD1-PDL1.sdf	0.252	0.36	0.457	3564.1	10017	7683.6
MOL_117	PD1-PDL1.sdf	0.22	0.323	0.41	3197.6	10017	7686.5
MOL_118	PD1-PDL1.sdf	0.182	0.275	0.349	2727.4	10017	7697.7
MOL_119	PD1-PDL1.sdf	0.301	0.413	0.524	4089.8	10017	7680.8
MOL_120	PD1-PDL1.sdf	0.181	0.275	0.348	2717.9	10017	7685.3
MOL_121	PD1-PDL1.sdf	0.2	0.298	0.379	2952.7	10017	7678
MOL_122	PD1-PDL1.sdf	0.243	0.35	0.444	3461.7	10017	7670.6
MOL_123	PD1-PDL1.sdf	0.273	0.383	0.486	3789.2	10017	7673.2
MOL_124	PD1-PDL1.sdf	0.221	0.324	0.411	3207	10017	7678.9
MOL_125	PD1-PDL1.sdf	0.283	0.394	0.502	3902.4	10017	7661.3
MOL_126	PD1-PDL1.sdf	0.265	0.38	0.468	3763.9	10017	7943.1
MOL_127	PD1-PDL1.sdf	0.223	0.33	0.407	3274	10017	7930.1
MOL_128	PD1-PDL1.sdf	0.2	0.301	0.372	2985.9	10017	7925.5
MOL_129	PD1-PDL1.sdf	0.287	0.403	0.497	3999.2	10017	7936.2
MOL_130	PD1-PDL1.sdf	0.229	0.337	0.417	3343.8	10017	7921.1
MOL_131	PD1-PDL1.sdf	0.243	0.354	0.437	3505.1	10017	7924.4
MOL_132	PD1-PDL1.sdf	0.206	0.309	0.381	3060.4	10017	7924.3
MOL_133	PD1-PDL1.sdf	0.242	0.352	0.435	3492.7	10017	7929.5
MOL_134	PD1-PDL1.sdf	0.26	0.373	0.461	3701.7	10017	7927.5
MOL_135	PD1-PDL1.sdf	0.289	0.406	0.501	4020.9	10017	7929.2
MOL_136	PD1-PDL1.sdf	0.247	0.369	0.428	3667.8	10017	8491.3
MOL_137	PD1-PDL1.sdf	0.18	0.284	0.33	2827	10017	8492.5
MOL_138	PD1-PDL1.sdf	0.252	0.375	0.434	3730.8	10017	8528.3
MOL_139	PD1-PDL1.sdf	0.347	0.479	0.556	4765.5	10017	8493.7
MOL_140	PD1-PDL1.sdf	0.281	0.408	0.473	4056	10017	8490.3
MOL_141	PD1-PDL1.sdf	0.304	0.435	0.504	4319.6	10017	8498.1
MOL_142	PD1-PDL1.sdf	0.192	0.299	0.348	2975.1	10017	8480.5
MOL_143	PD1-PDL1.sdf	0.202	0.313	0.363	3109.5	10017	8480.1
MOL_144	PD1-PDL1.sdf	0.269	0.395	0.458	3928	10017	8507.6
MOL_145	PD1-PDL1.sdf	0.297	0.427	0.494	4241.6	10017	8519.7
MOL_146	PD1-PDL1.sdf	0.22	0.342	0.383	3404.6	10017	8831.2
MOL_147	PD1-PDL1.sdf	0.272	0.405	0.454	4027.5	10017	8814
MOL_148	PD1-PDL1.sdf	0.271	0.403	0.452	4015.9	10017	8829.8
MOL_149	PD1-PDL1.sdf	0.304	0.441	0.494	4391	10017	8837.9
MOL_150	PD1-PDL1.sdf	0.263	0.394	0.442	3921.1	10017	8820
MOL_151	PD1-PDL1.sdf	0.254	0.383	0.429	3816.8	10017	8830.1
MOL_152	PD1-PDL1.sdf	0.248	0.376	0.422	3747.5	10017	8817
MOL_153	PD1-PDL1.sdf	0.267	0.399	0.447	3971.9	10017	8818.4
MOL_154	PD1-PDL1.sdf	0.322	0.461	0.516	4586.9	10017	8822.3
MOL_155	PD1-PDL1.sdf	0.227	0.351	0.393	3492.6	10017	8828.1
MOL_156	PD1-PDL1.sdf	0.16	0.263	0.289	2624.3	10017	9044.6
MOL_157	PD1-PDL1.sdf	0.314	0.457	0.501	4554.4	10017	9044.6
MOL_158	PD1-PDL1.sdf	0.292	0.432	0.474	4304	10017	9038.2
MOL_159	PD1-PDL1.sdf	0.363	0.511	0.556	5093.1	10017	9114.4
MOL_160	PD1-PDL1.sdf	0.265	0.4	0.439	3990.9	10017	9049.3
MOL_161	PD1-PDL1.sdf	0.318	0.464	0.504	4623.1	10017	9132.1
MOL_162	PD1-PDL1.sdf	0.22	0.344	0.378	3427.9	10017	9024.2
MOL_163	PD1-PDL1.sdf	0.239	0.37	0.403	3691.8	10017	9119.7
MOL_164	PD1-PDL1.sdf	0.314	0.459	0.499	4576.1	10017	9123.9
MOL_165	PD1-PDL1.sdf	0.231	0.347	0.409	3444.4	10017	8340.5
MOL_166	PD1-PDL1.sdf	0.206	0.316	0.373	3139.7	10017	8341.3
MOL_167	PD1-PDL1.sdf	0.27	0.393	0.463	3906.8	10017	8356.4
MOL_168	PD1-PDL1.sdf	0.284	0.409	0.481	4062.6	10017	8355.2
MOL_169	PD1-PDL1.sdf	0.189	0.294	0.346	2919.4	10017	8348.4
MOL_170	PD1-PDL1.sdf	0.366	0.495	0.584	4916.1	10017	8338.3
MOL_171	PD1-PDL1.sdf	0.327	0.455	0.538	4520.5	10017	8324.7
MOL_172	PD1-PDL1.sdf	0.341	0.47	0.553	4666.3	10017	8352.2
MOL_173	PD1-PDL1.sdf	0.28	0.425	0.451	4246.1	10017	9384
MOL_174	PD1-PDL1.sdf	0.289	0.436	0.461	4352.5	10017	9418
MOL_175	PD1-PDL1.sdf	0.198	0.322	0.341	3212.5	10017	9397.8
MOL_176	PD1-PDL1.sdf	0.306	0.456	0.482	4554.9	10017	9425.9
MOL_177	PD1-PDL1.sdf	0.309	0.459	0.485	4589.1	10017	9423.1
MOL_178	PD1-PDL1.sdf	0.335	0.488	0.515	4879.1	10017	9445.7
MOL_179	PD1-PDL1.sdf	0.14	0.239	0.252	2384.6	10017	9432.8
MOL_180	PD1-PDL1.sdf	0.338	0.491	0.521	4902.5	10017	9372.7
MOL_181	PD1-PDL1.sdf	0.327	0.48	0.507	4795.6	10017	9426.6
MOL_182	PD1-PDL1.sdf	0.231	0.365	0.386	3649.4	10017	9418.8
MOL_183	PD1-PDL1.sdf	0.227	0.344	0.401	3419.1	10017	8449.3
MOL_184	PD1-PDL1.sdf	0.264	0.388	0.452	3853.2	10017	8448.9
MOL_185	PD1-PDL1.sdf	0.265	0.39	0.454	3873.4	10017	8453.3
MOL_186	PD1-PDL1.sdf	0.212	0.325	0.379	3233.2	10017	8447.1
MOL_187	PD1-PDL1.sdf	0.225	0.341	0.397	3388.1	10017	8460.9
MOL_188	PD1-PDL1.sdf	0.333	0.464	0.541	4610.2	10017	8442.9
MOL_189	PD1-PDL1.sdf	0.251	0.373	0.435	3709.2	10017	8458
MOL_190	PD1-PDL1.sdf	0.317	0.447	0.521	4445.2	10017	8457.4
MOL_191	PD1-PDL1.sdf	0.269	0.394	0.459	3915.8	10017	8458.8
MOL_192	PD1-PDL1.sdf	0.26	0.383	0.446	3808.7	10017	8452.5
MOL_193	PD1-PDL1.sdf	0.247	0.369	0.428	3671.4	10017	8492
MOL_194	PD1-PDL1.sdf	0.276	0.402	0.467	3997.8	10017	8483.1
MOL_195	PD1-PDL1.sdf	0.276	0.402	0.467	3999.4	10017	8493.6
MOL_196	PD1-PDL1.sdf	0.37	0.503	0.584	4995.6	10017	8480.6
MOL_197	PD1-PDL1.sdf	0.189	0.297	0.344	2948.5	10017	8497.6
MOL_198	PD1-PDL1.sdf	0.266	0.392	0.454	3895.1	10017	8497.6
MOL_199	PD1-PDL1.sdf	0.272	0.399	0.462	3964.2	10017	8496.8
MOL_200	PD1-PDL1.sdf	0.36	0.493	0.572	4899.5	10017	8486.1
MOL_201	PD1-PDL1.sdf	0.225	0.347	0.391	3457.7	10017	8784.7
MOL_202	PD1-PDL1.sdf	0.215	0.335	0.377	3331.4	10017	8774.3
MOL_203	PD1-PDL1.sdf	0.315	0.452	0.51	4504	10017	8766.3
MOL_204	PD1-PDL1.sdf	0.235	0.36	0.405	3581.4	10017	8774
MOL_205	PD1-PDL1.sdf	0.277	0.41	0.461	4079.6	10017	8794
MOL_206	PD1-PDL1.sdf	0.299	0.435	0.489	4327.9	10017	8784.1
MOL_207	PD1-PDL1.sdf	0.279	0.412	0.464	4106.3	10017	8795
MOL_208	PD1-PDL1.sdf	0.217	0.336	0.379	3348.9	10017	8784.4
MOL_209	PD1-PDL1.sdf	0.223	0.345	0.387	3432.6	10017	8800.1
MOL_210	PD1-PDL1.sdf	0.288	0.423	0.475	4206.7	10017	8792.6
MOL_211	PD1-PDL1.sdf	0.206	0.32	0.366	3184.2	10017	8625.3
MOL_212	PD1-PDL1.sdf	0.203	0.316	0.362	3146.1	10017	8623.4
MOL_213	PD1-PDL1.sdf	0.342	0.478	0.546	4751.5	10017	8625.1
MOL_214	PD1-PDL1.sdf	0.32	0.454	0.52	4520	10017	8620.9
MOL_215	PD1-PDL1.sdf	0.205	0.319	0.365	3172.5	10017	8631.7
MOL_216	PD1-PDL1.sdf	0.209	0.324	0.371	3225.3	10017	8631.9
MOL_217	PD1-PDL1.sdf	0.276	0.406	0.464	4036	10017	8632.4
MOL_218	PD1-PDL1.sdf	0.302	0.435	0.497	4330.2	10017	8636.2
MOL_219	PD1-PDL1.sdf	0.18	0.285	0.326	2839.6	10017	8639.6
MOL_220	PD1-PDL1.sdf	0.207	0.322	0.368	3201.7	10017	8638.1
MOL_221	PD1-PDL1.sdf	0.274	0.392	0.477	3883.4	10017	8036
MOL_222	PD1-PDL1.sdf	0.263	0.379	0.463	3758.9	10017	8026.7
MOL_223	PD1-PDL1.sdf	0.209	0.315	0.384	3123.5	10017	8028.7
MOL_224	PD1-PDL1.sdf	0.222	0.331	0.403	3280.1	10017	8030.3
MOL_225	PD1-PDL1.sdf	0.262	0.378	0.461	3746.9	10017	8034.5
MOL_226	PD1-PDL1.sdf	0.226	0.336	0.409	3331.3	10017	8039.1
MOL_227	PD1-PDL1.sdf	0.203	0.307	0.375	3046.9	10017	8034.1
MOL_228	PD1-PDL1.sdf	0.239	0.351	0.429	3484.1	10017	8028.1
MOL_229	PD1-PDL1.sdf	0.263	0.379	0.462	3762.1	10017	8035.8
MOL_230	PD1-PDL1.sdf	0.245	0.358	0.437	3546.9	10017	8023.8
MOL_231	PD1-PDL1.sdf	0.264	0.416	0.419	4166.9	10017	9953.1
MOL_232	PD1-PDL1.sdf	0.288	0.447	0.449	4473.2	10017	9962.1
MOL_233	PD1-PDL1.sdf	0.257	0.408	0.411	4086.1	10017	9945.3
MOL_234	PD1-PDL1.sdf	0.247	0.397	0.396	3972.2	10017	10023
MOL_235	PD1-PDL1.sdf	0.209	0.345	0.347	3457.8	10017	9963.9
MOL_236	PD1-PDL1.sdf	0.241	0.388	0.39	3884.7	10017	9969.4
MOL_237	PD1-PDL1.sdf	0.313	0.475	0.479	4758.3	10017	9933.7
MOL_238	PD1-PDL1.sdf	0.274	0.429	0.432	4291.8	10017	9927.5
MOL_239	PD1-PDL1.sdf	0.284	0.415	0.473	4127.2	10017	8654.6
MOL_240	PD1-PDL1.sdf	0.282	0.412	0.471	4100.5	10017	8630.8
MOL_241	PD1-PDL1.sdf	0.202	0.317	0.359	3154.8	10017	8720.7
MOL_242	PD1-PDL1.sdf	0.224	0.343	0.392	3411.3	10017	8642.5
MOL_243	PD1-PDL1.sdf	0.241	0.365	0.414	3631	10017	8703.4
MOL_244	PD1-PDL1.sdf	0.277	0.407	0.465	4053.8	10017	8648.3
MOL_245	PD1-PDL1.sdf	0.195	0.307	0.348	3059.3	10017	8721.4
MOL_246	PD1-PDL1.sdf	0.265	0.393	0.449	3911.9	10017	8652.5
MOL_247	PD1-PDL1.sdf	0.249	0.374	0.429	3718.6	10017	8606.3
MOL_248	PD1-PDL1.sdf	0.241	0.365	0.416	3628.1	10017	8650.9
MOL_249	PD1-PDL1.sdf	0.258	0.383	0.441	3805.5	10017	8546
MOL_250	PD1-PDL1.sdf	0.236	0.357	0.411	3547.6	10017	8550.4
MOL_251	PD1-PDL1.sdf	0.202	0.314	0.362	3117.6	10017	8535.3
MOL_252	PD1-PDL1.sdf	0.2	0.311	0.359	3093.8	10017	8553.2
MOL_253	PD1-PDL1.sdf	0.402	0.534	0.62	5306.5	10017	8481.6
MOL_254	PD1-PDL1.sdf	0.217	0.331	0.385	3294.3	10017	8484
MOL_255	PD1-PDL1.sdf	0.215	0.33	0.381	3285.7	10017	8542.2
MOL_256	PD1-PDL1.sdf	0.226	0.343	0.398	3412.4	10017	8494.5
MOL_257	PD1-PDL1.sdf	0.28	0.407	0.472	4042.6	10017	8481.4
MOL_258	PD1-PDL1.sdf	0.215	0.329	0.383	3271.6	10017	8474.1
MOL_259	PD1-PDL1.sdf	0.235	0.35	0.417	3477.1	10017	8245.3
MOL_260	PD1-PDL1.sdf	0.31	0.436	0.519	4325.2	10017	8246.4
MOL_261	PD1-PDL1.sdf	0.287	0.41	0.488	4067.4	10017	8246.4
MOL_262	PD1-PDL1.sdf	0.205	0.313	0.373	3105.7	10017	8225.7
MOL_263	PD1-PDL1.sdf	0.189	0.292	0.348	2900.4	10017	8252.5
MOL_264	PD1-PDL1.sdf	0.25	0.368	0.439	3656.4	10017	8243.9
MOL_265	PD1-PDL1.sdf	0.243	0.359	0.428	3565.8	10017	8242.6
MOL_266	PD1-PDL1.sdf	0.268	0.388	0.463	3855.1	10017	8242.5
MOL_267	PD1-PDL1.sdf	0.206	0.313	0.374	3111.6	10017	8222.7
MOL_268	PD1-PDL1.sdf	0.212	0.321	0.384	3190.1	10017	8221.3
MOL_269	PD1-PDL1.sdf	0.255	0.45	0.371	4566.3	10017	12436
MOL_270	PD1-PDL1.sdf	0.273	0.474	0.391	4808.2	10017	12427
MOL_271	PD1-PDL1.sdf	0.275	0.477	0.394	4839.2	10017	12408
MOL_272	PD1-PDL1.sdf	0.32	0.536	0.442	5434.8	10017	12423
MOL_273	PD1-PDL1.sdf	0.241	0.429	0.354	4350.5	10017	12408
MOL_274	PD1-PDL1.sdf	0.179	0.336	0.277	3406.8	10017	12408
MOL_275	PD1-PDL1.sdf	0.272	0.473	0.391	4792.7	10017	12369
MOL_276	PD1-PDL1.sdf	0.248	0.402	0.392	4033.2	10017	10309
MOL_277	PD1-PDL1.sdf	0.244	0.398	0.388	3991.4	10017	10302
MOL_278	PD1-PDL1.sdf	0.289	0.454	0.443	4551	10017	10290
MOL_279	PD1-PDL1.sdf	0.287	0.451	0.44	4524.7	10017	10294
MOL_280	PD1-PDL1.sdf	0.271	0.431	0.421	4328.3	10017	10299
MOL_281	PD1-PDL1.sdf	0.264	0.422	0.413	4235.6	10017	10274
MOL_282	PD1-PDL1.sdf	0.23	0.378	0.369	3794.1	10017	10290
MOL_283	PD1-PDL1.sdf	0.219	0.364	0.354	3647.7	10017	10307
MOL_284	PD1-PDL1.sdf	0.242	0.36	0.424	3580.9	10017	8363.4
MOL_285	PD1-PDL1.sdf	0.199	0.307	0.361	3046.2	10017	8353.5
MOL_286	PD1-PDL1.sdf	0.278	0.403	0.473	3998.9	10017	8375.3
MOL_287	PD1-PDL1.sdf	0.255	0.376	0.443	3738.7	10017	8363.3
MOL_288	PD1-PDL1.sdf	0.289	0.415	0.488	4120.9	10017	8367.1
MOL_289	PD1-PDL1.sdf	0.24	0.359	0.421	3562.7	10017	8378.5
MOL_290	PD1-PDL1.sdf	0.228	0.344	0.404	3414.9	10017	8370.5
MOL_291	PD1-PDL1.sdf	0.257	0.379	0.444	3760.5	10017	8383.7
MOL_292	PD1-PDL1.sdf	0.186	0.248	0.426	2429.3	10017	5478.8
MOL_293	PD1-PDL1.sdf	0.174	0.235	0.403	2296.8	10017	5478.2
MOL_294	PD1-PDL1.sdf	0.193	0.256	0.439	2505.6	10017	5475.8
MOL_295	PD1-PDL1.sdf	0.177	0.238	0.409	2330.9	10017	5466.2
MOL_296	PD1-PDL1.sdf	0.196	0.259	0.445	2536.8	10017	5467.7
MOL_297	PD1-PDL1.sdf	0.211	0.326	0.375	3244.2	10017	8578.2
MOL_298	PD1-PDL1.sdf	0.245	0.368	0.423	3662.5	10017	8585.6
MOL_299	PD1-PDL1.sdf	0.321	0.455	0.522	4524	10017	8589.4
MOL_300	PD1-PDL1.sdf	0.291	0.421	0.484	4187.5	10017	8581.6
MOL_301	PD1-PDL1.sdf	0.276	0.404	0.465	4022.4	10017	8577.6
MOL_302	PD1-PDL1.sdf	0.343	0.478	0.549	4750.4	10017	8587.4
MOL_303	PD1-PDL1.sdf	0.195	0.306	0.351	3039.5	10017	8581.1
MOL_304	PD1-PDL1.sdf	0.226	0.344	0.396	3420.9	10017	8561.4
MOL_305	PD1-PDL1.sdf	0.304	0.436	0.502	4332.4	10017	8552.6
MOL_306	PD1-PDL1.sdf	0.333	0.467	0.538	4643.7	10017	8552.1
MOL_307	PD1-PDL1.sdf	0.351	0.501	0.54	4993.5	10017	9214.7
MOL_308	PD1-PDL1.sdf	0.2	0.321	0.346	3206.6	10017	9220
MOL_309	PD1-PDL1.sdf	0.233	0.363	0.392	3624.7	10017	9196.4
MOL_310	PD1-PDL1.sdf	0.321	0.468	0.505	4673	10017	9221.9
MOL_311	PD1-PDL1.sdf	0.147	0.247	0.266	2463.1	10017	9229.4
MOL_312	PD1-PDL1.sdf	0.252	0.389	0.419	3876.8	10017	9214.5
MOL_313	PD1-PDL1.sdf	0.291	0.435	0.468	4343.4	10017	9243.6
MOL_314	PD1-PDL1.sdf	0.314	0.461	0.496	4603.9	10017	9242.7
MOL_315	PD1-PDL1.sdf	0.193	0.312	0.335	3112.1	10017	9246
MOL_316	PD1-PDL1.sdf	0.161	0.261	0.294	2602.1	10017	8791.4
MOL_317	PD1-PDL1.sdf	0.235	0.359	0.405	3577.3	10017	8766.6
MOL_318	PD1-PDL1.sdf	0.198	0.314	0.349	3123.6	10017	8888.2
MOL_319	PD1-PDL1.sdf	0.229	0.353	0.394	3515	10017	8875
MOL_320	PD1-PDL1.sdf	0.191	0.304	0.339	3025.2	10017	8867.6
